id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
685337742259580044,Mansarda Boutique,28399922,Andrea,,Ponteranica,45.73004,9.6466,Entire home/apt,102,1,4,2023-10-01,0.22,1,357,2,
685447067393155252,LA PETITE MAISON - Two-room apartment,473122552,La Petite,,Bergamo,45.69186089999999,9.6634291,Entire home/apt,100,2,5,2023-08-17,0.22,1,347,1,
685495376694286985,AvocadoHouse3VistaTerme,129702539,Andrea,,San Pellegrino Terme,45.841350802421886,9.664827547967434,Entire home/apt,75,1,108,2024-06-25,4.66,7,7,45,
686149299347607041,Casa La Vigna Appartamento,473304011,Roberto,,Treviolo,45.6784001,9.6270189,Entire home/apt,85,1,0,,,1,212,0,
686719667958860638,"La Bergamo dei borghi, tra luce e tranquillità",434545054,Olga,,Bergamo,45.6997,9.68354,Private room,47,2,101,2024-06-15,4.49,3,247,31,CIR: 016024-BEB-00218
686921923420723717,Ca valletta,422865352,Paolo,,Tavernola Bergamasca,45.70800456142602,10.03570832312107,Entire home/apt,108,1,156,2024-06-24,6.80,2,299,73,
686972387413428452,Casa spaziosa con giardino,32404180,Tiziana,,Castione della Presolana,45.9151049,10.0662229,Entire home/apt,110,6,2,2023-08-20,0.18,1,231,2,
687632226828267815,BnB Stropelina - stanza Fiordaliso,472834984,Monica,,Urgnano,45.6000895,9.724075599999999,Private room,42,1,238,2024-06-27,13.13,2,268,166,CIR 016222-BEB-00001
688160463457213275,camera tripla per corsiste Ryanair,29723480,Jacopo,,Grassobbio,45.65604863743591,9.721590015344237,Shared room,28,20,0,,,7,180,0,BG002897
689586342941026806,Casa di classe con giardino privato e garage,474108629,Walter,,Treviolo,45.67194,9.62012,Entire home/apt,78,28,0,,,1,365,0,
689592719473598676,Appartamento incantevole a Bergamo,10307398,Silvia,,Bergamo,45.7033,9.68421,Entire home/apt,100,2,3,2022-10-21,0.13,1,302,0,
689600183619457180,Loft per 6 persone nel cuore di Bergamo Alta,474111994,Federico,,Bergamo,45.705111,9.660579499999999,Entire home/apt,175,2,20,2024-06-15,0.97,1,192,11,
